"","V12","V91","V241","V299","V315","V365","V395","V480","V485","V536","V565","V624","V659","V685","V736","V740","V751","V757","V789","V798","V979","V1005","V1859","V2230","V2446","V2558","V2723","V2726","V2845","V2968","V3107","V3120","V3383","V4184","V4380","V4424","V4700","V4716","V4767","V4818","V4888","V5007","V5409","V5945","V5998","V6505","V6834","V6921","V7059","V7191","V7226","V7349","V8021","V8146","V8702","V8775","V9256","V9505","V9563","V9584","V9817","V10332","V10358","V10420","V10515","V10520","V10733","V10769","V10871","V11285","V11373","V11468","V11682","V11698","V11916","V11985","V11992","V12169","V12296","V12366","V12585","V13006","V13031","V13063","V13426","V13496","V13579","V13615","V13652","V13788","V14082","V14794","V15053","V15452","V15991","V216","V690","V691","V2295","V3101"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",4e-05,0,0,0,0,1e-05,0,-1e-05,0,0,-2e-05,-1e-05,0,0,0,0,0,0,0,0,0,-1e-05,0,1e-05,0,1e-05,0,1e-05,1e-05,-1e-05,0,-1e-05,1e-05,-1e-05,-1e-05,1e-05,0,0,0,-1e-05,1e-05,0,0,0,1e-05,-1e-05,0,1e-05,-1e-05,0,-1e-05,0,1e-05,0,0,1e-05,0,0,-1e-05,-1e-05,0,-1e-05,-1e-05,1e-05,0,-2e-05,1e-05,0,0,0,0,0,-1e-05,2e-05,0,0,0,-1e-05,-1e-05,-1e-05,-1e-05,0,0,-1e-05,1e-05,-2e-05,0,0,0,-1e-05,-2e-05,0,1e-05,-1e-05,1e-05,-1e-05,-1e-05,0,1e-05,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,-1e-05,1e-05,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,-1e-05,0,0,0,0,-1e-05,-1e-05,0,0,0,0
"16",0,0,0,0,0,0,0,-2e-05,0,0,0,0,0,0,-2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,2e-05,0,0,0,6e-05,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,1e-05,0,0,-1e-05,0,0,0,-5e-05,-2e-05,-5e-05,-7e-05,0,0,0,0,-1e-04,0.00024,0,0,0,0,1e-05,0,0,0,1e-05,0,0,0,0,0,7e-05,0,0.00021,0,0,0,1e-05,-1e-05,0,-1e-05,0,0,-2e-05,0,0,0,0,1e-05,0,0,0,-1e-05,0,-0.00016,3e-05,-1e-05,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,0,0,-1e-05,0,0,0,-1e-05,0,4e-05,0,0,0,0,0,0,1e-05
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,1e-05,-1e-05,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,-1e-05,0,0,7e-05,1e-05,-1e-05,0,0,0,0,0,0,0,-1e-05,0,4e-05,0,-1e-05,1e-05,-1e-05,4e-05,0,-1e-05,7e-05,0,1e-05,0,-1e-05,0,0,-1e-05,-1e-05,0,0,0,-3e-05,0,1e-05,0,0,1e-05,0,0,1e-05,0,-1e-05,0,0,0,1e-05,-2e-05,-1e-05,3e-05,-1e-05,0,4e-05,-2e-05,-1e-05,0,0,2e-05,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,1e-05
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0
"27",0,0,1e-05,1e-05,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,1e-05,8e-05,0,0,-1e-05,0,0,0,0,1e-05,-1e-05,1e-05,-1e-05,0,0,0,-1e-05,0,0,-1e-05,8e-05,2e-05,0,-1e-05,0,0,-1e-05,-1e-05,1e-05,-1e-05,-1e-05,-1e-05,0,0,-1e-05,2e-05,1e-05,-1e-05,0,0,0,-1e-05,0,0,1e-05,0,1e-05,-2e-05,-1e-05,0,1e-05,0,-1e-05,0,0,0,0,0,0,-1e-05,0,3e-05,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,1e-05
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,-1e-05,1e-05,0,1e-05,0,-1e-05,1e-05,0,-1e-05,0,0,0,0,0,0,1e-05,0,-1e-05,-1e-05,0,-1e-05,-1e-05,0,1e-05,1e-05,0,0,1e-05,0,0,0,0,0,0,0,1e-05,0,0,-1e-05,0,1e-05,1e-05,1e-05,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,-1e-05,0,1e-05,0,0,0
"30",0,0,0,0,-1e-05,0,0,0,0,0,-1e-05,2e-05,0,0,0,-1e-05,0,0,0,0,0,0,1e-05,0,0,1e-05,0,-1e-05,-1e-05,0,1e-05,-1e-05,0,-1e-05,0,0,0,0,-1e-05,0,0,0,0,0,1e-05,-1e-05,0,0,-1e-05,-1e-05,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,1e-05,0,-1e-05,1e-05,0,0,1e-05,0,-1e-05,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,-1e-05,-1e-05,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,-1e-05,0,0,-1e-05,0,0,0,0,0,1e-05,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0
"34",-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,1e-05,0,0,0,0,0,-1e-05,0,1e-05,0,1e-05,0,0,-1e-05,1e-05,-1e-05,-2e-05,0,0,-1e-05,-2e-05,0,0,0,0,0,0,-1e-05,-1e-05,0,0,-1e-05,1e-05,0,0,0,0,1e-05,-1e-05,0,0,0,0,-1e-05,0,-1e-05,-1e-05,0,0,0,0,3e-05,0,0,0,0,0,0,1e-05,0,0,-1e-05,0,0,0,0,0,0,0,1e-05,1e-05,-1e-05,1e-05,1e-05,-1e-05,-2e-05,0,1e-05
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,2e-05,0,-2e-05,0,0,7e-05,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,-1e-05,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,-4e-05,-1e-05,-1e-05,-3e-05,0,-1e-05,0,0,0,0,0,1e-05,0,-1e-05,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,-1e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,-1e-05,0,0,2e-05,-2e-05,0,1e-05,-1e-05,-1e-05,0,0,0,0,-1e-05,0,0,0,0,1e-05,0,0,-2e-05,0,0,-1e-05,1e-05,0,0,0,0,0,-1e-05,0,0,0,1e-05,0,1e-05,-1e-05,-1e-05,0,0,0,-1e-05,4e-05,0,0,0,1e-05,0,0,-1e-05,0,0,-1e-05,0,-2e-05,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,-1e-05,-1e-05,0,1e-05,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,-1e-05,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,1e-05,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05
"44",0,0,0,-6e-05,1e-05,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,-3e-05,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,1e-05,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,1e-05,1e-05,1e-05,1e-05,3e-05,-3e-05,-2e-05,-3e-05,0,0,-1e-05,-2e-05,-1e-05,1e-05,-1e-05,1e-05,-2e-05,0,-1e-05,-1e-05,0,0,1e-05,0,0,0,0,-7e-05,6e-05,1e-05,-1e-05,0,-1e-05,0,0,0,0,0,3e-05,0,0,8e-05,0,0,-1e-05,-1e-05,1e-05,-1e-05,0,0,-7e-05,0,0,-1e-04,3e-05,1e-05,0,0,0,0,0,0,-5e-05,0,1e-05,0,-1e-05,0,-9e-05,1e-05,5e-05,0,0,0,0,0,0,5e-05,0,0,0,0,-1e-05,0,1e-05,1e-05,0,0,0,-1e-05,1e-05,0,0,0,-1e-05,0,1e-05,0,-9e-05
"51",2e-05,0,0,-4e-05,0,0,0,0,2e-05,0,0,1e-05,1e-05,0,0,1e-05,-2e-05,0,-1e-05,1e-05,0,0,0,0,0,0,0,0,1e-05,-1e-05,0,0,0,0,0,0,0,0,0,0,0,-3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,1e-05,0,-1e-05,0,0,0,0,0,6e-05,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9e-05,-1e-05,0,0,-1e-05,0,-1e-05,0,0,-1e-05,0,0,0,0,0,-1e-05,0,0,-1e-05,0.00012,0,0,1e-05,1e-04,1e-05,0,0,0,0,0,4e-05,-1e-05,0,1e-05,1e-05,0,0,0,0,1e-05,0,-1e-05,0,0,0,0,3e-05,0,4e-05,0,0,-3e-05,0,0.00012,0,0,0,0,1e-05,0.00015,0,0,0,-1e-05,0,-1e-05,-1e-05,0,0,-2e-05
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,-1e-05,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-05,0,0,0,0,0,0,-1e-05,0,0,1e-05,0,0,0,0,0,-1e-05,0,-1e-05,0,0,0,0,0,0,-1e-05,0,0,-1e-05,-1e-05,0,1e-05,-1e-05,-1e-05,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,5e-05,0,0,0,0,0,0,4e-05,0,0,0,0,-1e-05,3e-05,0,0,0,0,-1e-05,0,0,0,0,0,0,0,0,0,1e-05
